
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  NODE  NODE  NODE

       68   -10.6066017191        -14.1520556324        -10.6066017165     
       69    13.7280836608        -13.7280836608        -6.04480926111     
       70    10.6066017218        -15.0000000000        -10.6066017138     
       71    10.6066017191        -14.1520556324        -10.6066017165     
       72   0.156084861736E-014    15.0000000000         15.0000000000     
       73    10.6066017178         10.6066017178         10.6066017178     
       74    6.04480926089         13.7280836609         13.7280836609     
       75    15.0000000000         15.0000000000       -0.183697019872E-014
       76    13.7280836608         13.7280836608         6.04480926111     
       77    10.6066017218         15.0000000000         10.6066017138     
       78    10.6066017191         14.1520556324         10.6066017165     
       79   -6.04480926089         13.7280836609         13.7280836609     
       80   -10.6066017218         15.0000000000         10.6066017138     
       81   -10.6066017191         14.1520556324         10.6066017165     
       82    13.7280836608         13.7280836608        -6.04480926111     
       83    10.6066017218         15.0000000000        -10.6066017138     
       84    10.6066017191         14.1520556324        -10.6066017165     
       85   -13.7280836608         13.7280836608        -6.04480926111     
       86   -10.6066017218         15.0000000000        -10.6066017138     

   NODE        X                   Y                   Z
       87   -10.6066017191         14.1520556324        -10.6066017165     
       88    13.7280836612         6.04480926023         13.7280836612     
       89    15.0000000000         10.6066017218         10.6066017138     
       90    14.1520556325         10.6066017190         10.6066017166     
       91    13.7280836612        -6.04480926023         13.7280836612     
       92    15.0000000000        -10.6066017218         10.6066017138     
       93    14.1520556325        -10.6066017190         10.6066017166     
       94    15.0000000000        -10.6066017218        -10.6066017138     
       95    14.1520556325        -10.6066017190        -10.6066017166     
       96    15.0000000000         10.6066017218        -10.6066017138     
       97    14.1520556325         10.6066017190        -10.6066017166     
       98   -15.0000000000        -10.6066017218        -10.6066017138     
       99   -14.1520556325        -10.6066017190        -10.6066017166     
      100    10.6066017218         10.6066017138         15.0000000000     
      101    10.6066017194         10.6066017162         14.1520556325     
      102   -10.6066017218         10.6066017138         15.0000000000     
      103   -10.6066017194         10.6066017162         14.1520556325     
      104    10.6066017194        -10.6066017162         14.1520556325     
      106   -15.0000000000         10.6066017218        -10.6066017138     
      107   -14.1520556325         10.6066017190        -10.6066017166     

   NODE        X                   Y                   Z
      108   -50.0000000000       -0.266453525910E-014   -15.0000000000     
      109   -50.0000000000         15.0000000000       -0.183697019872E-014
      110   -50.0000000000         10.6066017160        -10.6066017195     
      111   -38.3333333333         15.0000000000         0.00000000000     
      112   -26.6666666667         15.0000000000        0.183697019872E-014
      113   -38.3333333333       -0.116403343983E-014   -15.0000000000     
      114   -26.6666666667        0.336468379447E-015   -15.0000000000     
      115   -26.6666666667         10.6066017198        -10.6066017157     
      116   -38.3333333333         10.6066017180        -10.6066017176     
      117   -50.0000000000        -15.0000000000        0.367394039744E-014
      118   -50.0000000000        -10.6066017189        -10.6066017167     
      119   -38.3333333333        -15.0000000000        0.367394039744E-014
      120   -26.6666666667        -15.0000000000        0.367394039744E-014
      121   -26.6666666667        -10.6066017208        -10.6066017148     
      122   -38.3333333333        -10.6066017198        -10.6066017157     
      123   -50.0000000000        0.355271367880E-014    15.0000000000     
      124   -50.0000000000        -10.6066017160         10.6066017195     
      125   -38.3333333333        0.298079918544E-014    15.0000000000     
      126   -26.6666666667        0.240888469208E-014    15.0000000000     
      127   -26.6666666667        -10.6066017198         10.6066017157     

   NODE        X                   Y                   Z
      128   -38.3333333333        -10.6066017180         10.6066017176     
      129   -50.0000000000         10.6066017189         10.6066017167     
      130   -26.6666666667         10.6066017208         10.6066017148     
      131   -38.3333333333         10.6066017198         10.6066017157     
      132    50.0000000000        0.355271367880E-014    15.0000000000     
      133    38.3333333333        0.236847578587E-014    15.0000000000     
      134    26.6666666667        0.118423789293E-014    15.0000000000     
      135    50.0000000000         15.0000000000       -0.183697019872E-014
      136    50.0000000000         10.6066017189         10.6066017167     
      137    38.3333333333         15.0000000000       -0.183697019872E-014
      138    26.6666666667         15.0000000000       -0.183697019872E-014
      139    38.3333333333         10.6066017198         10.6066017157     
      140    26.6666666667         10.6066017208         10.6066017148     
      141    50.0000000000        -15.0000000000        0.367394039744E-014
      142    38.3333333333        -15.0000000000        0.183697019872E-014
      143    26.6666666667        -15.0000000000         0.00000000000     
      144    50.0000000000        -10.6066017160         10.6066017195     
      145    38.3333333333        -10.6066017180         10.6066017176     
      146    26.6666666667        -10.6066017198         10.6066017157     
      147    50.0000000000       -0.266453525910E-014   -15.0000000000     

   NODE        X                   Y                   Z
      148    50.0000000000        -10.6066017189        -10.6066017167     
      149    38.3333333333       -0.177635683940E-014   -15.0000000000     
      150    26.6666666667       -0.888178419700E-015   -15.0000000000     
      151    26.6666666667        -10.6066017208        -10.6066017148     
      152    38.3333333333        -10.6066017198        -10.6066017157     
      153    50.0000000000         10.6066017160        -10.6066017195     
      154    38.3333333333         10.6066017180        -10.6066017176     
      155    26.6666666667         10.6066017198        -10.6066017157     
      156  -0.266453525910E-014    50.0000000000        -15.0000000000     
      157    15.0000000000         50.0000000000       -0.183697019872E-014
      158    10.6066017160         50.0000000000        -10.6066017195     
      159    15.0000000000         38.3333333333       -0.183697019872E-014
      160    15.0000000000         26.6666666667       -0.183697019872E-014
      161  -0.888178419700E-015    26.6666666667        -15.0000000000     
      162  -0.177635683940E-014    38.3333333333        -15.0000000000     
