
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  NODE  NODE  NODE

   NODE        X                   Y                   Z
        1  -0.520282872453E-015    10.0000000000         10.0000000000     
        2    7.07106781187         7.07106781187         7.07106781187     
        3   0.888178419700E-015    10.0000000000         50.0000000000     
        4  -0.507957750688E-016    10.0000000000         23.3333333333     
        5   0.418691322316E-015    10.0000000000         36.6666666667     
        6    7.07106781187         7.07106781187         50.0000000000     
        7    7.07106781187         7.07106781187         21.3807118746     
        8    7.07106781187         7.07106781187         35.6903559373     
        9   0.780424308680E-015   -10.0000000000         10.0000000000     
       10   -7.07106781187        -7.07106781187         7.07106781187     
       11  -0.888178419700E-015   -10.0000000000         50.0000000000     
       12   0.224223399220E-015   -10.0000000000         23.3333333333     
       13  -0.331977510240E-015   -10.0000000000         36.6666666667     
       14   -7.07106781187        -7.07106781187         50.0000000000     
       15   -7.07106781187        -7.07106781187         21.3807118746     
       16   -7.07106781187        -7.07106781187         35.6903559373     
       17  -0.888178419700E-015   -10.0000000000        -50.0000000000     
       18   -7.07106781187        -7.07106781187        -50.0000000000     
       19    0.00000000000        -10.0000000000        -10.0000000000     
       20  -0.296059473233E-015   -10.0000000000        -23.3333333333     

   NODE        X                   Y                   Z
       21  -0.592118946467E-015   -10.0000000000        -36.6666666667     
       22   -7.07106781187        -7.07106781187        -7.07106781187     
       23   -7.07106781187        -7.07106781187        -21.3807118746     
       24   -7.07106781187        -7.07106781187        -35.6903559373     
       25   0.888178419700E-015    10.0000000000        -50.0000000000     
       26    7.07106781187         7.07106781187        -50.0000000000     
       27    0.00000000000         10.0000000000        -10.0000000000     
       28   0.296059473233E-015    10.0000000000        -23.3333333333     
       29   0.592118946467E-015    10.0000000000        -36.6666666667     
       30    7.07106781187         7.07106781187        -7.07106781187     
       31    7.07106781187         7.07106781187        -21.3807118746     
       32    7.07106781187         7.07106781187        -35.6903559373     
       33   -7.07106781187         7.07106781187         50.0000000000     
       34   -7.07106781187         7.07106781187         7.07106781187     
       35   -7.07106781187         7.07106781187         35.6903559373     
       36   -7.07106781187         7.07106781187         21.3807118746     
       37   0.177635683940E-014    50.0000000000         10.0000000000     
       38    7.07106781187         50.0000000000         7.07106781187     
       39   0.245263698165E-015    23.3333333333         10.0000000000     
       40   0.101081026878E-014    36.6666666667         10.0000000000     

   NODE        X                   Y                   Z
       41    7.07106781187         35.6903559373         7.07106781187     
       42    7.07106781187         21.3807118746         7.07106781187     
       43    7.07106781187        -7.07106781187         50.0000000000     
       44    7.07106781187        -7.07106781187         7.07106781187     
       45    7.07106781187        -7.07106781187         35.6903559373     
       46    7.07106781187        -7.07106781187         21.3807118746     
       47   0.177635683940E-014   -50.0000000000         10.0000000000     
       48   0.111240181892E-014   -23.3333333333         10.0000000000     
       49   0.144437932916E-014   -36.6666666667         10.0000000000     
       50    7.07106781187        -50.0000000000         7.07106781187     
       51    7.07106781187        -35.6903559373         7.07106781187     
       52    7.07106781187        -21.3807118746         7.07106781187     
       53  -0.177635683940E-014   -50.0000000000        -10.0000000000     
       54  -0.592118946467E-015   -23.3333333333        -10.0000000000     
       55  -0.118423789293E-014   -36.6666666667        -10.0000000000     
       56   -7.07106781187        -50.0000000000        -7.07106781187     
       57   -7.07106781187        -35.6903559373        -7.07106781187     
       58   -7.07106781187        -21.3807118746        -7.07106781187     
       59    7.07106781187        -7.07106781187        -7.07106781187     
       60  -0.177635683940E-014    50.0000000000        -10.0000000000     

   NODE        X                   Y                   Z
       61   -7.07106781187         50.0000000000        -7.07106781187     
       62  -0.592118946467E-015    23.3333333333        -10.0000000000     
       63  -0.118423789293E-014    36.6666666667        -10.0000000000     
       64   -7.07106781187         7.07106781187        -7.07106781187     
       65   -7.07106781187         35.6903559373        -7.07106781187     
       66   -7.07106781187         21.3807118746        -7.07106781187     
       67   -7.07106781187         7.07106781187        -50.0000000000     
       68   -7.07106781187         7.07106781187        -35.6903559373     
       69   -7.07106781187         7.07106781187        -21.3807118746     
       70   -7.07106781187         50.0000000000         7.07106781187     
       71   -7.07106781187         35.6903559373         7.07106781187     
       72   -7.07106781187         21.3807118746         7.07106781187     
       73    10.0000000000         0.00000000000         10.0000000000     
       74    50.0000000000        0.177635683940E-014    10.0000000000     
       75    36.6666666667        0.118423789293E-014    10.0000000000     
       76    23.3333333333        0.592118946467E-015    10.0000000000     
       77    50.0000000000         7.07106781187         7.07106781187     
       78    35.6903559373         7.07106781187         7.07106781187     
       79    21.3807118746         7.07106781187         7.07106781187     
       80   -7.07106781187        -50.0000000000         7.07106781187     

   NODE        X                   Y                   Z
       81   -7.07106781187        -35.6903559373         7.07106781187     
       82   -7.07106781187        -21.3807118746         7.07106781187     
       83    10.0000000000         0.00000000000        -10.0000000000     
       84    50.0000000000       -0.177635683940E-014   -10.0000000000     
       85    36.6666666667       -0.118423789293E-014   -10.0000000000     
       86    23.3333333333       -0.592118946467E-015   -10.0000000000     
       87    50.0000000000        -7.07106781187        -7.07106781187     
       88    35.6903559373        -7.07106781187        -7.07106781187     
       89    21.3807118746        -7.07106781187        -7.07106781187     
       90   -50.0000000000         7.07106781187         7.07106781187     
       91   -50.0000000000        0.177635683940E-014    10.0000000000     
       92   -10.0000000000        0.122464679915E-014    10.0000000000     
       93   -36.6666666667        0.159245349265E-014    10.0000000000     
       94   -23.3333333333        0.140855014590E-014    10.0000000000     
       95   -35.6903559373         7.07106781187         7.07106781187     
       96   -21.3807118746         7.07106781187         7.07106781187     
       97    50.0000000000        -7.07106781187         7.07106781187     
