
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  NODE  NODE  NODE

       62    12.0710678000         7.07106782872         2.07106782378     
       63    18.7377344196         16.4991583087        -4.59559879582     
       64    25.4044011302         25.9272486623        -11.2622655065     
       65    26.4644660941        -40.3553390593        -16.4644660941     
       66    16.4644660941        -40.3553390593        -26.4644660941     
       67    20.0000000007        -42.4264068712        -19.9999999993     
       68    19.3096440627        -30.2368927062        -9.30964406271     
       69    12.1548220314        -20.1184463531        -2.15482203136     
       70    9.30964406271        -30.2368927062        -19.3096440627     
       71    2.15482203136        -20.1184463531        -12.1548220314     
       72    6.66666657976        -23.5702260383        -6.66666675186     
       73    13.3333333106        -32.9983164542        -13.3333333544     
       74    23.5355339059        -30.3553390593        -33.5355339059     
       75    16.3807118746        -20.2368927062        -26.3807118746     
       76    9.22588984322        -10.1184463531        -19.2258898432     
       77    17.9289321873        -35.3553390605        -32.0710678110     
       78   -2.07106782378        -7.07106782872        -12.0710678000     
       79    11.2622655047        -25.9272486651        -25.4044011284     
       80    4.59559879492        -16.4991583103        -18.7377344186     

   NODE        X                   Y                   Z
       81    33.5355339059        -30.3553390593        -23.5355339059     
       82    29.9999999993        -28.2842712475        -30.0000000007     
       83    26.3807118746        -20.2368927062        -16.3807118746     
       84    19.2258898432        -10.1184463531        -9.22588984322     
       85    16.6666667519        -9.42809041461        -16.6666665798     
       86    23.3333333544        -18.8561808304        -23.3333333106     
       87    32.0710678127        -35.3553390582        -17.9289321890     
       88    12.0710678238        -7.07106779501         2.07106779995     
       89    25.4044011605        -25.9272486198        -11.2622655368     
       90    18.7377345369        -16.4991581430        -4.59559891320     
       91   -16.4644660941         40.3553390593         26.4644660941     
       92   -23.5355339059         30.3553390593         33.5355339059     
       93   -17.9289321873         35.3553390605         32.0710678110     
       94   -16.3807118746         20.2368927062         26.3807118746     
       95   -9.22588984322         10.1184463531         19.2258898432     
       96    2.07106782378         7.07106782872         12.0710678000     
       97   -9.30964406271         30.2368927062         19.3096440627     
       98   -2.15482203136         20.1184463531         12.1548220314     
       99   -4.59559879219         16.4991583141         18.7377344159     
      100   -11.2622655033         25.9272486671         25.4044011270     

   NODE        X                   Y                   Z
      101   -26.4644660941         40.3553390593         16.4644660941     
      102   -20.0000000007         42.4264068712         19.9999999993     
      103   -19.3096440627         30.2368927062         9.30964406271     
      104   -12.1548220314         20.1184463531         2.15482203136     
      105   -6.66666658361         23.5702260384         6.66666674803     
      106   -13.3333333125         32.9983164542         13.3333333524     
      107   -33.5355339059         30.3553390593         23.5355339059     
      108   -32.0710678127         35.3553390582         17.9289321890     
      109   -12.0710678238         7.07106779501        -2.07106779995     
      110   -26.3807118746         20.2368927062         16.3807118746     
      111   -19.2258898432         10.1184463531         9.22588984322     
      112   -18.7377345396         16.4991581391         4.59559891591     
      113   -25.4044011619         25.9272486178         11.2622655381     
      114   -29.9999999993         28.2842712475         30.0000000007     
      115   -16.6666667480         9.42809041462         16.6666665836     
      116   -23.3333333525         18.8561808304         23.3333333125     
      117    35.3553390593        -10.0000000000         35.3553390593     
      118    42.4264068712       -0.888178419700E-015    28.2842712475     
      119    40.3553390588        -7.07106781258         30.3553390598     
      120    25.2368927062        -10.0000000000         25.2368927062     

   NODE        X                   Y                   Z
      121    15.1184463531        -10.0000000000         15.1184463531     
      122    32.3079605181       -0.296059473233E-014    18.1658248943     
      123    22.1895141650       -0.503301104497E-014    8.04737854124     
      124    21.4991582656        -7.07106775660         11.4991581874     
      125    30.9272486469        -7.07106780536         20.9272486377     
      126    35.3553390593         10.0000000000         35.3553390593     
      127    25.2368927062         10.0000000000         25.2368927062     
      128    15.1184463531         10.0000000000         15.1184463531     
      129    40.3553390602         7.07106781070         30.3553390585     
      130    30.9272486420         7.07106781218         20.9272486425     
      131    21.4991582532         7.07106777405         11.4991581997     
      132    28.2842712475        0.888178419700E-015    42.4264068712     
      133    30.3553390598         7.07106781258         40.3553390588     
      134    18.1658248943        0.592118946467E-015    32.3079605181     
      135    8.04737854124        0.296059473233E-015    22.1895141650     
      136    11.4991582033         7.07106777899         21.4991582498     
      137    20.9272486457         7.07106781650         30.9272486391     
      138    30.3553390585        -7.07106781070         40.3553390602     
      139    20.9272486346        -7.07106780073         30.9272486503     
      140    11.4991581838        -7.07106775133         21.4991582694     

   NODE        X                   Y                   Z
      141   -42.4264068712        0.621724893790E-014   -28.2842712475     
      142   -35.3553390593        -10.0000000000        -35.3553390593     
      143   -40.3553390602        -7.07106781070        -30.3553390585     
      144   -25.2368927062        -10.0000000000        -25.2368927062     
      145   -15.1184463531        -10.0000000000        -15.1184463531     
      146   -32.3079605181        0.177635683940E-014   -18.1658248943     
      147   -22.1895141650       -0.266453525910E-014   -8.04737854124     
      148   -21.4991582667        -7.07106775517        -11.4991581865     
      149   -30.9272486490        -7.07106780264        -20.9272486359     
      150   -35.3553390593         10.0000000000        -35.3553390593     
      151   -40.3553390588         7.07106781258        -30.3553390598     
      152   -25.2368927062         10.0000000000        -25.2368927062     
      153   -15.1184463531         10.0000000000        -15.1184463531     
      154   -21.4991582683         7.07106775276        -11.4991581847     
      155   -30.9272486482         7.07106780344        -20.9272486363     
      156   -28.2842712475       -0.532907051820E-014   -42.4264068712     
      157   -30.3553390585         7.07106781070        -40.3553390602     
      158   -18.1658248943       -0.532907051820E-014   -32.3079605181     
      159   -8.04737854124       -0.532907051820E-014   -22.1895141650     
      160   -11.4991582024         7.07106777785        -21.4991582505     

   NODE        X                   Y                   Z
      161   -20.9272486438         7.07106781408        -30.9272486407     
      162   -30.3553390598        -7.07106781258        -40.3553390588     
      163   -11.4991582006        -7.07106777519        -21.4991582525     
      164   -20.9272486443        -7.07106781460        -30.9272486405     

